Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
370,0,0.003488,-0.000980,-0.008010,314.955963,48.577690,208.632950
371,0,0.003763,-0.001069,-0.008318,314.972565,48.588058,208.671646
372,0,0.003837,-0.000974,-0.008394,315.019806,48.565491,208.694183
373,0,0.003813,-0.000792,-0.008413,315.078217,48.531471,208.719757
374,0,0.003438,-0.001322,-0.007925,315.268982,48.492188,208.808090
375,0,0.003325,-0.001253,-0.007705,315.342926,48.441616,208.884720
376,0,0.003480,-0.000699,-0.007898,315.318909,48.375179,208.936081
377,0,0.003300,-0.001476,-0.007657,315.532867,48.304119,209.108414
378,0,0.003451,-0.001539,-0.007773,315.628906,48.239281,209.256927
379,0,0.003648,-0.001593,-0.008005,315.733887,48.165142,209.363434
380,0,0.003795,-0.001467,-0.008110,315.849823,48.084057,209.538010
381,0,0.003696,-0.001339,-0.008300,315.999695,47.992523,209.683517
382,0,0.003562,-0.001349,-0.008221,316.181091,47.902771,209.853073
383,0,0.002960,-0.001194,-0.008148,316.324493,47.640076,210.092209
384,0,0.002846,-0.001338,-0.008174,316.580444,47.504089,210.371094
385,0,0.002686,-0.001391,-0.008198,316.864716,47.327583,210.679733
386,0,0.002619,-0.001427,-0.008322,317.166931,47.150394,210.992722
387,0,0.002840,-0.001350,-0.008408,317.501038,46.982029,211.322037
388,0,0.003017,-0.001236,-0.008490,317.864685,46.813328,211.677811
389,0,0.003039,-0.001278,-0.008467,318.245392,46.613422,212.062393
390,0,0.002925,-0.001299,-0.008304,318.670868,46.377720,212.467285
391,0,0.002804,-0.001329,-0.008175,319.116791,46.119495,212.949936
392,0,0.002717,-0.001258,-0.008166,319.615204,45.892044,213.461578
393,0,0.002641,-0.000666,-0.008454,320.048523,45.631279,213.973557
394,0,0.002572,-0.000792,-0.008473,320.638367,45.328259,214.559433
395,0,0.002520,-0.001638,-0.008172,321.428314,45.049534,215.209885
396,0,0.002552,-0.001699,-0.008285,322.103546,44.696590,215.864792
397,0,0.002528,-0.001643,-0.008426,322.826202,44.332031,216.569946
398,0,0.002563,-0.001609,-0.008299,323.618774,43.975433,217.295013
399,0,0.002526,-0.001572,-0.008138,324.406647,43.559280,218.082840
400,0,0.002869,-0.001687,-0.008067,325.274200,43.288803,218.882309
401,0,0.002681,-0.001763,-0.007977,326.152924,42.794930,219.795441
402,0,0.002670,-0.001957,-0.008139,327.061768,42.351200,220.725052
403,0,0.002576,-0.002119,-0.008262,328.015198,41.816566,221.746536
404,0,0.002641,-0.002230,-0.008438,329.091583,41.290936,222.819107
405,0,0.002140,-0.002037,-0.008502,330.145233,40.589691,223.958603
406,0,0.002039,-0.001875,-0.008458,331.291565,39.974163,225.074219
407,0,0.001998,-0.001910,-0.008293,332.560455,39.357437,226.198547
408,0,0.001967,-0.001821,-0.008154,333.805847,38.708298,227.360092
409,0,0.001911,-0.001925,-0.008064,335.105774,38.043877,228.584381
410,0,0.002102,-0.001860,-0.008093,336.434143,37.389702,229.879562
411,0,0.002642,-0.002188,-0.008284,337.842377,36.902145,231.302994
412,0,0.002416,-0.002246,-0.008509,339.258057,36.227352,232.763290
413,0,0.002045,-0.002419,-0.008907,340.728455,35.504852,234.201828
414,0,0.002068,-0.001834,-0.009253,342.039429,34.828163,235.585724
415,0,0.001114,-0.002161,-0.009007,343.589142,33.955261,237.071030
416,0,0.000990,-0.002189,-0.008706,345.098572,33.222126,238.517136
417,0,0.000807,-0.002079,-0.008808,346.681946,32.458675,240.023621
418,0,0.000908,-0.002072,-0.008661,348.273804,31.661030,241.594971
419,0,0.000918,-0.002106,-0.008825,349.958435,30.830477,243.293793
420,0,0.001950,-0.001954,-0.008953,351.814697,30.066854,245.084335
421,0,0.002222,-0.001360,-0.009294,353.378906,29.226025,246.763596
422,0,0.001838,-0.001971,-0.008940,355.259674,28.405077,248.517532
423,0,0.001842,-0.001168,-0.009009,356.891113,27.608561,250.109848
424,0,0.000797,-0.001327,-0.008601,358.689178,26.616886,251.810135
425,0,0.000687,-0.001309,-0.008634,360.422668,25.872047,253.457718
426,0,0.000652,-0.001390,-0.008772,362.118927,25.117676,255.159851
427,0,0.000724,-0.001461,-0.008997,363.821472,24.370274,257.029144
428,0,0.000619,-0.001968,-0.009234,365.633209,23.546949,258.948517
429,0,0.001552,-0.001949,-0.009328,367.363495,23.042545,260.817505
430,0,0.001141,-0.002250,-0.009157,369.264435,22.157145,262.634583
431,0,0.000936,-0.002171,-0.008859,371.100830,21.366873,264.438538
432,0,0.000858,-0.001922,-0.008607,372.936371,20.537735,266.231110
433,0,0.000626,-0.001752,-0.008368,374.841614,19.756035,268.093292
434,0,0.000657,-0.001647,-0.008325,376.747101,18.918940,269.981537
435,0,0.000168,-0.001449,-0.008553,378.601288,17.978998,272.006195
436,0,0.000298,-0.001685,-0.008756,380.501495,17.192387,274.004944
437,0,0.000275,-0.002040,-0.008909,382.382629,16.460348,276.000671
438,0,0.000110,-0.002209,-0.009124,384.246399,15.694982,277.921478
439,0,-0.000138,-0.002090,-0.008963,386.102173,14.962330,279.885132
440,0,-0.000381,-0.002016,-0.008693,387.989014,14.267452,281.823608
441,0,-0.000883,-0.001700,-0.008461,389.881378,13.502791,283.740021
442,0,-0.001187,-0.001539,-0.008213,391.790527,12.776128,285.737762
443,0,-0.001126,-0.001521,-0.007918,393.705261,12.080933,287.714081
444,0,-0.001019,-0.001202,-0.008006,395.664673,11.301877,289.754181
445,0,-0.000994,-0.001355,-0.008210,397.568146,10.572319,291.690826
446,0,-0.000752,-0.001602,-0.008389,399.444763,9.936195,293.638184
447,0,-0.000816,-0.001778,-0.008472,401.276703,9.277072,295.611847
448,0,-0.000361,-0.002083,-0.008373,403.127625,8.825841,297.521973
449,0,-0.000434,-0.002012,-0.008690,405.042908,8.203883,299.444763
450,0,-0.000761,-0.001675,-0.008653,406.869507,7.564826,301.358307
451,0,-0.001718,-0.001201,-0.008473,408.652954,6.823484,303.362793
452,0,-0.002113,-0.001311,-0.008125,410.537476,6.251582,305.364990
453,0,-0.002258,-0.001410,-0.008252,412.394043,5.659252,307.364563
454,0,-0.002223,-0.001480,-0.008350,414.265686,5.127925,309.415649
455,0,-0.001874,-0.001754,-0.008610,416.133636,4.615006,311.399200
456,0,-0.002280,-0.002457,-0.009006,418.078247,3.968684,313.377106
457,0,-0.002258,-0.002721,-0.009505,419.880585,3.469259,315.331879
458,0,-0.002094,-0.002386,-0.009186,421.790192,2.871525,317.269135
459,0,-0.002049,-0.002104,-0.009290,423.573914,2.322125,319.241058
460,0,-0.002015,-0.001821,-0.009527,425.297394,1.849844,321.241119
461,0,-0.002509,-0.002052,-0.009059,427.131592,1.282010,323.265717
462,0,-0.002446,-0.001813,-0.009127,428.878662,0.826944,325.376495
463,0,-0.001962,-0.002351,-0.008651,430.816895,0.434888,327.479401
464,0,-0.001715,-0.002643,-0.008965,432.678436,-0.034926,329.594482
465,0,-0.001638,-0.002675,-0.009333,434.485291,-0.521634,331.696198
466,0,-0.001609,-0.002562,-0.009499,436.308380,-0.967561,333.725128
467,0,-0.001485,-0.002717,-0.009584,438.173737,-1.360495,335.714691
468,0,-0.001595,-0.002699,-0.009835,439.984528,-1.749082,337.720673
469,0,-0.002470,-0.002308,-0.010046,441.695801,-2.292359,339.812805
470,0,-0.002532,-0.002324,-0.009959,443.522552,-2.607298,341.941620
471,0,-0.002509,-0.002583,-0.009934,445.363007,-2.892465,344.152405
472,0,-0.002096,-0.002706,-0.010037,447.208923,-3.039557,346.349731
473,0,-0.002016,-0.002634,-0.009672,449.037689,-3.300111,348.509369
474,0,-0.002520,-0.001792,-0.009978,450.686981,-3.710386,350.572327
475,0,-0.002677,-0.002435,-0.009582,452.671692,-3.944981,352.676117
476,0,-0.002363,-0.001883,-0.010041,454.342468,-4.176713,354.682281
477,0,-0.002232,-0.001849,-0.010222,456.131104,-4.389435,356.746521
478,0,-0.002293,-0.002013,-0.010507,457.939728,-4.593735,358.883942
479,0,-0.002204,-0.002264,-0.010919,459.696838,-4.734590,361.005280
480,0,-0.002375,-0.002452,-0.011017,461.365845,-4.868763,363.105255
481,0,-0.002608,-0.002331,-0.011102,463.048615,-5.018030,365.213196
482,0,-0.003339,-0.003118,-0.010566,464.914246,-5.163863,367.461426
483,0,-0.003306,-0.003146,-0.010313,466.674866,-5.235281,369.683990
484,0,-0.003342,-0.003019,-0.010093,468.461700,-5.282587,371.878784
485,0,-0.003180,-0.002172,-0.010625,470.093201,-5.346480,374.087097
486,0,-0.003177,-0.003060,-0.010380,472.081635,-5.351306,376.318695
487,0,-0.002692,-0.003363,-0.010498,473.928467,-5.287915,378.464935
488,0,-0.002420,-0.002940,-0.011297,475.580353,-5.200977,380.569702
489,0,-0.002372,-0.003110,-0.011454,477.339539,-5.043682,382.716156
490,0,-0.002505,-0.003252,-0.011430,479.043518,-4.869005,384.920807
491,0,-0.003102,-0.003186,-0.011452,480.727783,-4.641315,387.173553
492,0,-0.003776,-0.003130,-0.011490,482.380280,-4.370935,389.424255
493,0,-0.004268,-0.003250,-0.011452,483.989075,-4.076571,391.712006
494,0,-0.004647,-0.003323,-0.011614,485.577148,-3.798778,393.959778
495,0,-0.004632,-0.003502,-0.011842,487.218079,-3.482848,396.214417
496,0,-0.004389,-0.003638,-0.011835,488.886139,-3.142117,398.406311
497,0,-0.003960,-0.003677,-0.012024,490.514130,-2.814846,400.632965
498,0,-0.003434,-0.003498,-0.011920,492.153290,-2.447297,402.809601
499,0,-0.003014,-0.003232,-0.011711,493.744202,-2.055667,404.993042
500,0,-0.002802,-0.003164,-0.011584,495.320068,-1.584241,407.196136
501,0,-0.002850,-0.003372,-0.011609,496.803284,-1.121575,409.439545
