Objects
100
,,Global Angle PrototypePayload623:PrototypePayload623,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.003710,-0.000885,-0.008231,314.945862,48.592228,208.585693
2,0,0.003703,-0.000928,-0.008214,314.962402,48.593742,208.601791
3,0,0.003659,-0.000910,-0.008247,314.948090,48.595425,208.595596
4,0,0.003612,-0.000952,-0.008346,314.969299,48.584152,208.593658
5,0,0.003641,-0.000929,-0.008381,314.979431,48.585911,208.592621
6,0,0.003677,-0.000881,-0.008351,314.975708,48.585064,208.614456
7,0,0.003622,-0.000881,-0.008433,314.980621,48.575771,208.591278
8,0,0.003622,-0.000880,-0.008458,314.974426,48.564476,208.583878
9,0,0.003573,-0.000856,-0.008452,314.986542,48.547134,208.588211
10,0,0.003592,-0.000830,-0.008497,314.987610,48.542793,208.603699
11,0,0.003550,-0.000823,-0.008492,314.993713,48.527763,208.587875
12,0,0.003513,-0.000815,-0.008524,314.987640,48.524616,208.575500
13,0,0.003554,-0.000799,-0.008507,314.989227,48.522343,208.589249
14,0,0.003540,-0.000808,-0.008541,314.982574,48.505222,208.588013
15,0,0.003564,-0.000802,-0.008536,314.987946,48.486504,208.589645
16,0,0.003546,-0.000740,-0.008542,314.984009,48.490669,208.571579
17,0,0.003535,-0.000743,-0.008520,314.985443,48.484364,208.579483
18,0,0.003530,-0.000713,-0.008502,314.974945,48.467148,208.570602
19,0,0.003553,-0.000769,-0.008471,314.985443,48.460865,208.584991
20,0,0.003612,-0.000709,-0.008460,314.947418,48.470139,208.570175
21,0,0.003568,-0.000766,-0.008422,314.945618,48.460617,208.566025
22,0,0.003666,-0.000696,-0.008437,314.933441,48.454285,208.569519
23,0,0.003694,-0.000691,-0.008437,314.940857,48.456600,208.576324
24,0,0.003703,-0.000725,-0.008374,314.915771,48.456299,208.565826
25,0,0.003720,-0.000746,-0.008364,314.915161,48.455002,208.567657
26,0,0.003774,-0.000746,-0.008344,314.920349,48.453827,208.567474
27,0,0.003791,-0.000798,-0.008324,314.926910,48.464008,208.577576
28,0,0.003781,-0.000809,-0.008307,314.917389,48.467796,208.561081
29,0,0.003775,-0.000813,-0.008288,314.917816,48.478291,208.577652
30,0,0.003820,-0.000779,-0.008307,314.912750,48.485867,208.592804
31,0,0.003806,-0.000880,-0.008315,314.926819,48.495907,208.584900
32,0,0.003764,-0.000906,-0.008320,314.929993,48.510151,208.579758
33,0,0.003766,-0.000871,-0.008337,314.935455,48.521778,208.594177
34,0,0.003796,-0.000845,-0.008267,314.927826,48.535843,208.615326
35,0,0.003772,-0.000904,-0.008279,314.941223,48.542496,208.614105
36,0,0.003740,-0.000891,-0.008303,314.966248,48.542316,208.594101
37,0,0.003676,-0.000927,-0.008329,314.969116,48.549038,208.599380
38,0,0.003697,-0.000898,-0.008270,314.954773,48.564857,208.619995
39,0,0.003604,-0.000854,-0.008331,314.975769,48.565220,208.612396
40,0,0.003582,-0.000859,-0.008370,314.984558,48.555050,208.607880
41,0,0.003536,-0.000810,-0.008421,314.987701,48.563389,208.602997
42,0,0.003448,-0.000829,-0.008392,314.992432,48.563915,208.608704
43,0,0.003400,-0.000792,-0.008392,315.001617,48.569710,208.608704
44,0,0.003428,-0.000787,-0.008390,315.008240,48.568485,208.583755
45,0,0.003457,-0.000767,-0.008375,315.015137,48.575012,208.592896
46,0,0.003419,-0.000720,-0.008405,315.005219,48.581074,208.588638
47,0,0.003425,-0.000765,-0.008448,315.010284,48.580647,208.585220
48,0,0.003425,-0.000726,-0.008449,315.013275,48.577370,208.580963
49,0,0.003452,-0.000671,-0.008441,315.007050,48.579090,208.585663
50,0,0.003435,-0.000695,-0.008428,315.003540,48.565559,208.575882
51,0,0.003429,-0.000757,-0.008480,314.998749,48.557995,208.568710
52,0,0.003492,-0.000770,-0.008455,314.976959,48.542904,208.565552
53,0,0.003533,-0.000757,-0.008476,314.970520,48.537315,208.557770
54,0,0.003577,-0.000776,-0.008471,314.959167,48.531792,208.561737
55,0,0.003604,-0.000746,-0.008452,314.958313,48.510185,208.565643
56,0,0.003637,-0.000765,-0.008449,314.946838,48.498859,208.561234
57,0,0.003660,-0.000777,-0.008426,314.935486,48.494179,208.563065
58,0,0.003675,-0.000771,-0.008367,314.928314,48.490753,208.554260
59,0,0.003766,-0.000753,-0.008392,314.925476,48.490444,208.581665
60,0,0.003804,-0.000794,-0.008367,314.920380,48.476704,208.566879
61,0,0.003838,-0.000790,-0.008334,314.915466,48.471958,208.567810
62,0,0.003876,-0.000823,-0.008333,314.917023,48.470844,208.586700
63,0,0.003882,-0.000825,-0.008352,314.910004,48.461605,208.590118
64,0,0.003888,-0.000842,-0.008345,314.912872,48.458111,208.585602
65,0,0.003886,-0.000860,-0.008347,314.911530,48.456055,208.592529
66,0,0.003845,-0.000868,-0.008327,314.907288,48.455650,208.601379
67,0,0.003870,-0.000846,-0.008328,314.902100,48.451881,208.599777
68,0,0.003889,-0.000852,-0.008345,314.912781,48.453957,208.597015
69,0,0.003825,-0.000885,-0.008344,314.913330,48.461224,208.609650
70,0,0.003789,-0.000832,-0.008372,314.912659,48.464008,208.606522
71,0,0.003756,-0.000861,-0.008338,314.924255,48.467163,208.610489
72,0,0.003686,-0.000817,-0.008358,314.925323,48.475544,208.603607
73,0,0.003639,-0.000836,-0.008377,314.943878,48.487041,208.609833
74,0,0.003601,-0.000797,-0.008383,314.955170,48.489624,208.599594
75,0,0.003605,-0.000813,-0.008358,314.961395,48.498142,208.606400
76,0,0.003564,-0.000800,-0.008385,314.961273,48.516083,208.599808
77,0,0.003554,-0.000808,-0.008436,314.981873,48.529022,208.592621
78,0,0.003505,-0.000811,-0.008429,314.996521,48.538113,208.597672
79,0,0.003466,-0.000819,-0.008450,314.998840,48.536888,208.579208
80,0,0.003473,-0.000760,-0.008427,314.993469,48.546047,208.584641
81,0,0.003431,-0.000763,-0.008422,315.001404,48.559929,208.586426
